['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:35:00.092000 , 77.0 , 0.0 , 0.0 , 4292.30769231 , 4302.05128205 , 4288.20512821 , 4311.79487179 , 4196.92307692 , 4196.41025641 , 4192.82051282 , 4195.8974359 , 4194.87179487 , 4196.92307692 , 4233.33333333 , 4950.76923077 , 4112.30769231 , 4203.58974359 , 0.537492027513 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.092000 , 78.0 , 0.0 , 0.0 , 4312.30769231 , 4321.02564103 , 4317.43589744 , 4337.43589744 , 4202.05128205 , 4200.0 , 4197.43589744 , 4196.41025641 , 4193.33333333 , 4195.38461538 , 4221.53846154 , 4953.84615385 , 4083.07692308 , 4200.51282051 , 0.54480819134 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.093000 , 79.0 , 0.0 , 0.0 , 4329.23076923 , 4319.48717949 , 4331.28205128 , 4357.94871795 , 4194.87179487 , 4190.25641026 , 4192.82051282 , 4195.8974359 , 4197.94871795 , 4199.48717949 , 4225.12820513 , 4949.74358974 , 4077.94871795 , 4203.58974359 , 0.552124355166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.093000 , 80.0 , 0.0 , 0.0 , 4340.0 , 4325.12820513 , 4339.48717949 , 4357.94871795 , 4198.46153846 , 4196.41025641 , 4196.92307692 , 4193.84615385 , 4198.46153846 , 4199.48717949 , 4228.71794872 , 4949.23076923 , 4076.92307692 , 4207.69230769 , 0.559440518993 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.093000 , 81.0 , 0.0 , 0.0 , 4335.38461538 , 4331.28205128 , 4345.12820513 , 4350.25641026 , 4207.69230769 , 4205.12820513 , 4199.48717949 , 4195.38461538 , 4197.94871795 , 4199.48717949 , 4227.17948718 , 4950.25641026 , 4066.15384615 , 4206.15384615 , 0.56675668282 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.094000 , 82.0 , 0.0 , 0.0 , 4334.35897436 , 4332.30769231 , 4349.23076923 , 4352.82051282 , 4212.30769231 , 4207.69230769 , 4201.02564103 , 4194.87179487 , 4197.94871795 , 4196.41025641 , 4213.33333333 , 4956.92307692 , 4054.35897436 , 4203.07692308 , 0.574072846647 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.094000 , 83.0 , 0.0 , 0.0 , 4303.07692308 , 4299.48717949 , 4317.43589744 , 4317.94871795 , 4195.8974359 , 4187.17948718 , 4187.69230769 , 4196.41025641 , 4198.97435897 , 4199.48717949 , 4225.12820513 , 4953.33333333 , 4084.61538462 , 4206.15384615 , 0.581389010474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.094000 , 84.0 , 0.0 , 0.0 , 4307.69230769 , 4302.56410256 , 4327.17948718 , 4321.53846154 , 4194.35897436 , 4189.74358974 , 4189.23076923 , 4193.33333333 , 4197.43589744 , 4200.51282051 , 4214.87179487 , 4954.87179487 , 4067.17948718 , 4202.05128205 , 0.5887051743 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.094000 , 85.0 , 0.0 , 0.0 , 4299.48717949 , 4294.35897436 , 4312.82051282 , 4322.05128205 , 4193.33333333 , 4190.25641026 , 4185.12820513 , 4192.30769231 , 4198.46153846 , 4200.0 , 4213.33333333 , 4952.30769231 , 4074.35897436 , 4197.94871795 , 0.596021338127 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.095000 , 86.0 , 0.0 , 0.0 , 4291.79487179 , 4292.82051282 , 4303.58974359 , 4325.64102564 , 4192.82051282 , 4188.20512821 , 4188.20512821 , 4194.87179487 , 4194.87179487 , 4194.87179487 , 4198.46153846 , 4958.46153846 , 4079.48717949 , 4196.92307692 , 0.603337501954 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.095000 , 87.0 , 0.0 , 0.0 , 4265.64102564 , 4268.20512821 , 4277.43589744 , 4294.35897436 , 4176.41025641 , 4173.84615385 , 4178.97435897 , 4199.48717949 , 4194.35897436 , 4196.92307692 , 4212.82051282 , 4955.38461538 , 4106.66666667 , 4200.51282051 , 0.610653665781 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

