['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:16:55.877454 , 13.0 , 0.0 , 0.0 , 4203.07692308 , 4290.25641026 , 4266.15384615 , 4297.43589744 , 4197.94871795 , 4237.43589744 , 4248.71794872 , 4194.35897436 , 4196.92307692 , 4201.53846154 , 4187.69230769 , 4953.84615385 , 4085.12820513 , 4106.15384615 , 3.82294677192 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.877691 , 14.0 , 0.0 , 0.0 , 4206.15384615 , 4304.1025641 , 4281.53846154 , 4311.28205128 , 4198.46153846 , 4245.64102564 , 4269.74358974 , 4194.35897436 , 4195.38461538 , 4202.56410256 , 4170.25641026 , 4948.20512821 , 4051.28205128 , 4086.66666667 , 3.83126293575 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.877909 , 15.0 , 0.0 , 0.0 , 4207.69230769 , 4288.71794872 , 4299.48717949 , 4312.82051282 , 4187.69230769 , 4227.17948718 , 4253.33333333 , 4194.35897436 , 4194.35897436 , 4198.97435897 , 4165.12820513 , 4948.20512821 , 4041.53846154 , 4075.38461538 , 3.83957909958 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.878121 , 16.0 , 0.0 , 0.0 , 4209.23076923 , 4286.66666667 , 4301.02564103 , 4307.17948718 , 4195.38461538 , 4226.15384615 , 4241.02564103 , 4194.87179487 , 4195.38461538 , 4194.87179487 , 4159.48717949 , 4946.15384615 , 4072.82051282 , 4077.43589744 , 3.8478952634 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.878469 , 17.0 , 0.0 , 0.0 , 4192.30769231 , 4277.43589744 , 4280.0 , 4280.0 , 4193.33333333 , 4225.12820513 , 4243.07692308 , 4196.41025641 , 4196.41025641 , 4197.43589744 , 4155.8974359 , 4948.20512821 , 4104.1025641 , 4099.48717949 , 3.85621142723 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.878742 , 18.0 , 0.0 , 0.0 , 4188.71794872 , 4267.17948718 , 4279.48717949 , 4272.82051282 , 4186.66666667 , 4223.58974359 , 4252.30769231 , 4197.94871795 , 4196.41025641 , 4197.43589744 , 4149.23076923 , 4945.64102564 , 4090.25641026 , 4104.61538462 , 3.86452759106 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.879015 , 19.0 , 0.0 , 0.0 , 4191.79487179 , 4256.92307692 , 4288.20512821 , 4281.02564103 , 4188.20512821 , 4225.12820513 , 4248.71794872 , 4194.87179487 , 4194.87179487 , 4192.82051282 , 4150.25641026 , 4940.0 , 4068.71794872 , 4095.38461538 , 3.87284375489 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.879236 , 20.0 , 0.0 , 0.0 , 4185.12820513 , 4252.30769231 , 4278.46153846 , 4276.41025641 , 4193.33333333 , 4234.35897436 , 4249.74358974 , 4194.35897436 , 4193.84615385 , 4195.8974359 , 4152.30769231 , 4940.51282051 , 4065.12820513 , 4096.92307692 , 3.88115991871 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.879452 , 21.0 , 0.0 , 0.0 , 4195.38461538 , 4270.76923077 , 4277.94871795 , 4277.94871795 , 4201.53846154 , 4254.87179487 , 4269.23076923 , 4195.38461538 , 4193.84615385 , 4196.41025641 , 4137.43589744 , 4938.97435897 , 4066.15384615 , 4096.41025641 , 3.88947608254 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.879675 , 22.0 , 0.0 , 0.0 , 4199.48717949 , 4284.1025641 , 4266.66666667 , 4284.1025641 , 4200.0 , 4252.82051282 , 4262.05128205 , 4194.35897436 , 4194.87179487 , 4195.38461538 , 4150.25641026 , 4946.66666667 , 4083.58974359 , 4110.25641026 , 3.89779224637 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.879889 , 23.0 , 0.0 , 0.0 , 4205.12820513 , 4293.84615385 , 4271.28205128 , 4310.76923077 , 4209.23076923 , 4262.56410256 , 4263.58974359 , 4192.30769231 , 4195.8974359 , 4193.84615385 , 4163.58974359 , 4946.15384615 , 4074.87179487 , 4107.17948718 , 3.90610841019 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.880104 , 24.0 , 0.0 , 0.0 , 4193.84615385 , 4278.97435897 , 4257.43589744 , 4295.38461538 , 4195.38461538 , 4253.33333333 , 4265.12820513 , 4194.35897436 , 4197.43589744 , 4200.0 , 4190.25641026 , 4956.41025641 , 4080.51282051 , 4121.02564103 , 3.91442457402 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.880327 , 25.0 , 0.0 , 0.0 , 4206.66666667 , 4305.12820513 , 4282.05128205 , 4308.71794872 , 4203.07692308 , 4264.61538462 , 4291.79487179 , 4195.38461538 , 4196.41025641 , 4196.41025641 , 4172.30769231 , 4948.71794872 , 4057.94871795 , 4094.87179487 , 3.92274073785 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.880525 , 26.0 , 0.0 , 0.0 , 4197.94871795 , 4305.12820513 , 4280.0 , 4305.12820513 , 4202.05128205 , 4255.38461538 , 4276.41025641 , 4195.38461538 , 4198.46153846 , 4195.8974359 , 4176.41025641 , 4948.71794872 , 4080.0 , 4094.35897436 , 3.93105690167 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.880731 , 27.0 , 0.0 , 0.0 , 4195.8974359 , 4304.1025641 , 4279.48717949 , 4302.56410256 , 4209.23076923 , 4262.56410256 , 4271.28205128 , 4194.35897436 , 4200.51282051 , 4196.92307692 , 4172.30769231 , 4944.61538462 , 4075.8974359 , 4080.0 , 3.9393730655 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.880927 , 28.0 , 0.0 , 0.0 , 4185.64102564 , 4277.43589744 , 4260.0 , 4274.35897436 , 4193.84615385 , 4242.56410256 , 4256.41025641 , 4196.41025641 , 4199.48717949 , 4200.0 , 4182.56410256 , 4950.25641026 , 4087.17948718 , 4092.30769231 , 3.94768922933 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.881129 , 29.0 , 0.0 , 0.0 , 4202.56410256 , 4286.66666667 , 4284.61538462 , 4293.84615385 , 4192.82051282 , 4238.97435897 , 4263.07692308 , 4196.92307692 , 4196.92307692 , 4197.94871795 , 4156.92307692 , 4935.8974359 , 4074.35897436 , 4084.1025641 , 3.95600539315 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.881450 , 30.0 , 0.0 , 0.0 , 4190.76923077 , 4266.15384615 , 4279.48717949 , 4275.8974359 , 4177.43589744 , 4217.94871795 , 4237.43589744 , 4196.41025641 , 4196.92307692 , 4199.48717949 , 4157.94871795 , 4942.56410256 , 4091.79487179 , 4097.43589744 , 3.96432155698 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.881765 , 31.0 , 0.0 , 0.0 , 4196.92307692 , 4275.8974359 , 4283.58974359 , 4276.92307692 , 4190.25641026 , 4232.30769231 , 4245.12820513 , 4195.38461538 , 4196.41025641 , 4196.41025641 , 4147.17948718 , 4947.69230769 , 4073.33333333 , 4089.74358974 , 3.97263772081 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.882070 , 32.0 , 0.0 , 0.0 , 4198.46153846 , 4275.8974359 , 4282.05128205 , 4287.17948718 , 4186.66666667 , 4233.33333333 , 4244.1025641 , 4195.38461538 , 4197.43589744 , 4196.41025641 , 4164.61538462 , 4955.38461538 , 4081.53846154 , 4110.76923077 , 3.98095388463 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.882389 , 33.0 , 0.0 , 0.0 , 4203.07692308 , 4280.51282051 , 4299.48717949 , 4306.15384615 , 4188.71794872 , 4235.8974359 , 4252.30769231 , 4193.33333333 , 4198.46153846 , 4196.41025641 , 4161.53846154 , 4946.66666667 , 4058.97435897 , 4104.61538462 , 3.98927004846 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.882701 , 34.0 , 0.0 , 0.0 , 4185.12820513 , 4272.82051282 , 4284.61538462 , 4286.15384615 , 4195.8974359 , 4238.97435897 , 4260.0 , 4194.35897436 , 4196.41025641 , 4195.8974359 , 4154.87179487 , 4944.1025641 , 4054.35897436 , 4098.46153846 , 3.99758621229 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.883000 , 35.0 , 0.0 , 0.0 , 4182.05128205 , 4277.43589744 , 4254.35897436 , 4273.33333333 , 4203.58974359 , 4254.35897436 , 4278.97435897 , 4197.94871795 , 4194.35897436 , 4194.35897436 , 4161.53846154 , 4947.69230769 , 4082.05128205 , 4109.23076923 , 4.00590237611 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.883319 , 36.0 , 0.0 , 0.0 , 4190.25641026 , 4269.74358974 , 4245.12820513 , 4274.35897436 , 4189.74358974 , 4246.15384615 , 4276.92307692 , 4196.92307692 , 4196.92307692 , 4194.35897436 , 4185.64102564 , 4954.87179487 , 4101.02564103 , 4128.71794872 , 4.01421853994 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.883580 , 37.0 , 0.0 , 0.0 , 4201.53846154 , 4274.87179487 , 4271.79487179 , 4293.33333333 , 4192.30769231 , 4237.94871795 , 4266.15384615 , 4196.41025641 , 4198.97435897 , 4196.41025641 , 4184.61538462 , 4952.82051282 , 4071.28205128 , 4113.33333333 , 4.02253470377 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.883852 , 38.0 , 0.0 , 0.0 , 4208.71794872 , 4296.41025641 , 4287.17948718 , 4311.28205128 , 4208.20512821 , 4244.1025641 , 4259.48717949 , 4196.41025641 , 4197.43589744 , 4198.46153846 , 4173.33333333 , 4951.79487179 , 4066.15384615 , 4097.43589744 , 4.03085086759 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.884079 , 39.0 , 0.0 , 0.0 , 4206.15384615 , 4293.84615385 , 4273.84615385 , 4298.97435897 , 4199.48717949 , 4237.43589744 , 4252.82051282 , 4196.41025641 , 4194.87179487 , 4200.0 , 4175.8974359 , 4955.38461538 , 4084.1025641 , 4102.05128205 , 4.03916703142 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.884294 , 40.0 , 0.0 , 0.0 , 4202.05128205 , 4283.58974359 , 4282.56410256 , 4292.82051282 , 4188.20512821 , 4233.84615385 , 4257.94871795 , 4195.38461538 , 4194.87179487 , 4195.8974359 , 4163.58974359 , 4947.17948718 , 4057.94871795 , 4085.64102564 , 4.04748319525 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.884504 , 41.0 , 0.0 , 0.0 , 4191.28205128 , 4277.94871795 , 4276.92307692 , 4290.76923077 , 4181.53846154 , 4222.56410256 , 4249.23076923 , 4196.41025641 , 4196.41025641 , 4198.46153846 , 4167.69230769 , 4951.79487179 , 4068.71794872 , 4092.82051282 , 4.05579935907 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

